gp_id,gp_label,site_name,patient_count,rec_count,poor_pcg_count,poor_ecg_count,murmur_flag_count,low_ef_flag_count,af_flag_count,assigned_rec_count,assigned_poor_pcg_count,assigned_poor_ecg_count,assigned_murmur_flag_count,assigned_low_ef_flag_count,assigned_af_flag_count
531,GP-531,Roundwood Park Medical Centre,5,9,0,1,0,0,0,5,0,0,0,0,0
532,GP-532,St. Peter's Medical Centre,1,2,0,1,0,0,0,1,0,1,0,0,0
533,GP-533,Victoria Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
534,GP-534,Willesden Green Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
535,GP-535,Holland Park Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
536,GP-536,Foreland Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
537,GP-537,Barlby Surgery,1,9,0,1,0,0,0,1,0,0,0,0,0
538,GP-538,Preston Road Surgery,21,25,0,4,4,4,1,22,0,2,3,3,1
539,GP-539,Carlton Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
540,GP-540,Neasden Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
541,GP-541,Townfield Doctors Surgery,21,22,0,0,1,1,1,21,0,0,1,1,1
542,GP-542,Roxbourne Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
543,GP-543,Chestnut Practice,0,1,0,0,0,0,0,0,0,0,0,0,0
544,GP-544,Preston Road Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
545,GP-545,Victoria Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
546,GP-546,Pinn Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
547,GP-547,Ellis Practice,0,0,0,0,0,0,0,0,0,0,0,0,0
548,GP-548,Crawford Street Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
549,GP-549,Church End Medical Centre,3,13,0,2,0,1,0,3,0,0,0,1,0
550,GP-550,Honeypot Medical Centre,14,21,0,5,1,0,0,14,0,2,0,0,0
551,GP-551,Golbourne Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
552,GP-552,Willow Tree Family Doctors,1,1,0,0,0,0,0,1,0,0,0,0,0
553,GP-553,Uxendon Crescent Surgery,0,4,0,0,0,0,0,0,0,0,0,0,0
554,GP-554,Uxendon Crescent Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
555,GP-555,Grove Park Terrace Surgery,15,53,3,12,5,5,2,15,0,0,3,3,0
556,GP-556,Preston Road Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
557,GP-557,Stanley Corner Medical Centre,1,1,0,0,0,0,0,1,0,0,0,0,0
558,GP-558,Kings Road Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
559,GP-559,Park Medical Centre,6,9,0,1,0,0,1,6,0,0,0,0,1
560,GP-560,Mount Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
561,GP-561,The Lonsdale Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
562,GP-562,Victoria Medical Centre,0,3,0,0,0,0,0,0,0,0,0,0,0
563,GP-563,Pinn Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
564,GP-564,Great Chapel Street Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
565,GP-565,Oxgate Gardens Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
566,GP-566,Barlby Surgery,45,53,0,6,3,3,3,45,0,1,2,3,2
567,GP-567,Mapesbury Medical Group,0,0,0,0,0,0,0,0,0,0,0,0,0
568,GP-568,Walnut Way Surgery,0,1,0,0,0,0,0,0,0,0,0,0,0
569,GP-569,The Practice Heart of Hounslow,0,1,0,0,0,0,0,0,0,0,0,0,0
570,GP-570,Brook Green Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
571,GP-571,Oldfield Family Practice,62,75,1,4,9,6,4,64,1,4,8,4,4
572,GP-572,Ashchurch Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
573,GP-573,Church End Medical Centre,0,1,0,0,0,0,0,0,0,0,0,0,0
